Date,open,high,low,close,volume,ticker
2024-07-31,227.9000,234.6800,226.7875,232.0700,67497011,TSLA
2024-07-30,232.2500,232.4100,220.0000,222.6200,100560334,TSLA
2024-07-29,224.9000,234.2700,224.7000,232.1000,129201789,TSLA
2024-07-26,221.1900,222.2799,215.3300,219.8000,94604145,TSLA
2024-07-25,216.8000,226.0000,216.2310,220.2500,100636466,TSLA
2024-07-24,225.4200,225.9900,214.7100,215.9900,167942939,TSLA
2024-07-23,253.6000,255.7594,245.6300,246.3800,111928192,TSLA
2024-07-22,244.2100,253.2100,243.7500,251.5100,101225430,TSLA
2024-07-19,247.7900,249.4400,236.8300,239.2000,87403903,TSLA
2024-07-18,251.0900,257.1400,247.2000,249.2300,110869037,TSLA
2024-07-17,252.7300,258.4700,246.1820,248.5000,115584810,TSLA
2024-07-16,255.3100,258.6200,245.8001,256.5600,126332470,TSLA
2024-07-15,255.9700,265.6000,251.7300,252.6400,146912920,TSLA
2024-07-12,235.8000,251.8400,233.0912,248.2300,155955773,TSLA
2024-07-11,263.3000,271.0000,239.6500,241.0300,221707273,TSLA
2024-07-10,262.8000,267.5900,257.8600,263.2600,128519430,TSLA
2024-07-09,251.0000,265.6100,250.3000,262.3300,160742516,TSLA
2024-07-08,247.7100,259.4390,244.5700,252.9400,157219580,TSLA
2024-07-05,249.8100,252.3700,242.4601,251.5200,154501152,TSLA
2024-07-03,234.5600,248.3500,234.2500,246.3900,166561471,TSLA
2024-07-02,218.8900,231.3000,218.0600,231.2600,205047920,TSLA
2024-07-01,201.0200,213.2300,200.8500,209.8600,135691395,TSLA
2024-06-28,199.5500,203.2000,195.2600,197.8800,95438068,TSLA
2024-06-27,195.1700,198.7200,194.0500,197.4200,72746521,TSLA
2024-06-26,186.5400,197.7550,186.3600,196.3700,95737066,TSLA
2024-06-25,184.4000,187.9700,182.0100,187.3500,63678265,TSLA
2024-06-24,184.9700,188.8000,182.5500,182.5800,61992070,TSLA
2024-06-21,182.3000,183.9500,180.6900,183.0100,63029482,TSLA
2024-06-20,184.6800,185.2100,179.6600,181.5700,55893139,TSLA
2024-06-18,186.5600,187.2000,182.3700,184.8600,68982265,TSLA
2024-06-17,177.9200,188.8100,177.0000,187.4400,109786083,TSLA
2024-06-14,185.8000,186.0000,176.9200,178.0100,82038194,TSLA
2024-06-13,188.3900,191.0800,181.2300,182.4700,118984122,TSLA
2024-06-12,171.1200,180.5500,169.8000,177.2900,90389446,TSLA
2024-06-11,173.9200,174.7500,167.4100,170.6600,64761928,TSLA
2024-06-10,176.0600,178.5700,173.1700,173.7900,50869682,TSLA
2024-06-07,176.1300,179.3500,175.5800,177.4800,56244932,TSLA
2024-06-06,174.6000,179.7300,172.7300,177.9400,69887024,TSLA
2024-06-05,175.3500,176.1500,172.1300,175.0000,57953756,TSLA
2024-06-04,174.7750,177.7550,174.0000,174.7700,60056340,TSLA
2024-06-03,178.1300,182.6389,174.4900,176.2900,68568920,TSLA
2024-05-31,178.5000,180.3200,173.8200,178.0800,67314602,TSLA
2024-05-30,178.5750,182.6700,175.3800,178.7900,77784755,TSLA
2024-05-29,174.1900,178.1500,173.9300,176.1900,54782649,TSLA
2024-05-28,176.4000,178.2500,173.1600,176.7500,59736620,TSLA
2024-05-24,174.8350,180.0800,173.7300,179.2400,65584478,TSLA
2024-05-23,181.8000,181.9000,173.2600,173.7400,71975496,TSLA
2024-05-22,182.8500,183.8000,178.1200,180.1100,88313477,TSLA
2024-05-21,175.5100,186.8750,174.7100,186.6000,115266512,TSLA
2024-05-20,177.5600,177.7540,173.5200,174.9500,61727425,TSLA
2024-05-17,173.5500,179.6300,172.7500,177.4600,77445845,TSLA
2024-05-16,174.1000,175.7900,171.4300,174.8400,59812220,TSLA
2024-05-15,179.9000,180.0000,173.1100,173.9900,79662993,TSLA
2024-05-14,174.4959,179.4900,174.0700,177.5500,86407422,TSLA
2024-05-13,170.0000,175.4000,169.0000,171.8900,67018903,TSLA
2024-05-10,173.0500,173.0599,167.7500,168.4700,72627178,TSLA
2024-05-09,175.0100,175.6200,171.3700,171.9700,65950292,TSLA
2024-05-08,171.5900,176.0600,170.1500,174.7200,79969488,TSLA
2024-05-07,182.4000,183.2600,177.4000,177.8100,75045854,TSLA
2024-05-06,183.8000,187.5600,182.2000,184.7600,84390253,TSLA
2024-05-03,182.1000,184.7800,178.4200,181.1900,75491539,TSLA
2024-05-02,182.8600,184.6000,176.0200,180.0100,89148041,TSLA
2024-05-01,182.0000,185.8600,179.0100,179.9900,92829719,TSLA
2024-04-30,186.9800,190.9500,182.8401,183.2800,127031787,TSLA
2024-04-29,188.4200,198.8700,184.5400,194.0500,243869678,TSLA
2024-04-26,168.8500,172.1200,166.3700,168.2900,109815725,TSLA
2024-04-25,158.9600,170.8800,158.3600,170.1800,126427521,TSLA
2024-04-24,162.8400,167.9700,157.5100,162.1300,181178020,TSLA
2024-04-23,143.3300,147.2600,141.1100,144.6800,124545104,TSLA
2024-04-22,140.5600,144.4400,138.8025,142.0500,107097564,TSLA
2024-04-19,148.9700,150.9400,146.2200,147.0500,87074500,TSLA
2024-04-18,151.2500,152.2000,148.7000,149.9300,96098830,TSLA
2024-04-17,157.6400,158.3300,153.7800,155.4500,82439718,TSLA
2024-04-16,156.7420,158.1900,153.7500,157.1100,96999956,TSLA
2024-04-15,170.2400,170.6900,161.3800,161.4800,100245310,TSLA
2024-04-12,172.3400,173.8099,170.3644,171.0500,64722669,TSLA
2024-04-11,172.5500,175.8800,168.5100,174.6000,94515987,TSLA
2024-04-10,173.0400,174.9300,170.0100,171.7600,84532407,TSLA
2024-04-09,172.9100,179.2200,171.9200,176.8800,102327658,TSLA
2024-04-08,169.3400,174.5000,167.7900,172.9800,104039371,TSLA
2024-04-05,169.0800,170.8600,160.5100,164.9000,136439809,TSLA
2024-04-04,170.0700,177.1900,168.0100,171.1100,122061224,TSLA
2024-04-03,164.0200,168.8200,163.2800,168.3800,82223543,TSLA
2024-04-02,164.7500,167.6900,163.4300,166.6300,115344925,TSLA
2024-04-01,176.1700,176.7500,170.2100,175.2200,80751684,TSLA
2024-03-28,177.4500,179.5700,175.3000,175.7900,77654838,TSLA
2024-03-27,181.4100,181.9100,176.0000,179.8300,81804043,TSLA
2024-03-26,178.5800,184.2500,177.3800,177.6700,113186227,TSLA
2024-03-25,168.7600,175.2400,168.7300,172.6300,74228615,TSLA
2024-03-22,166.6900,171.2000,166.3000,170.8300,75580637,TSLA
2024-03-21,176.3900,178.1800,171.8000,172.8200,73178014,TSLA
2024-03-20,173.0000,176.2500,170.8200,175.6600,83846726,TSLA
2024-03-19,172.3600,172.8200,167.4200,171.3200,77271428,TSLA
2024-03-18,170.0200,174.7200,165.9000,173.8000,108214358,TSLA
2024-03-15,163.1600,165.1845,160.7600,163.5700,97146832,TSLA
2024-03-14,167.7700,171.1700,160.5100,162.5000,125494925,TSLA
2024-03-13,173.0500,176.0500,169.1500,169.4800,104717978,TSLA
2024-03-12,177.7700,179.4300,172.4101,177.5400,87009098,TSLA
2024-03-11,175.4500,182.8700,174.8000,177.7700,85013157,TSLA
2024-03-08,181.5000,182.7300,174.7000,175.3400,85544644,TSLA
2024-03-07,174.3500,180.0400,173.7000,178.6500,102129004,TSLA
2024-03-06,179.9900,181.5760,173.7000,176.5400,107920944,TSLA
2024-03-05,183.0500,184.5900,177.5700,180.7400,119660758,TSLA
2024-03-04,198.7300,199.7500,186.7200,188.1400,134334869,TSLA
2024-03-01,200.5200,204.5200,198.5000,202.6400,82243119,TSLA
2024-02-29,204.1800,205.2800,198.4463,201.8800,85906974,TSLA
2024-02-28,200.4200,205.3000,198.4400,202.0400,99806173,TSLA
2024-02-27,204.0400,205.6000,198.2600,199.7300,108645412,TSLA
